Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	Mass	Annotation	Reviewed	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs
P0A715	KDSA_ECOLI	2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)	kdsA b1215 JW1206	Escherichia coli (strain K12)	284	kdsA	30833	5.0	reviewed	keto-3-deoxy-D-manno-octulosonic acid biosynthetic process [GO:0019294]	cytosol [GO:0005829]; protein-containing complex [GO:0032991]	cytosol [GO:0005829]; protein-containing complex [GO:0032991]; 3-deoxy-8-phosphooctulonate synthase activity [GO:0008676]; identical protein binding [GO:0042802]; keto-3-deoxy-D-manno-octulosonic acid biosynthetic process [GO:0019294]	3-deoxy-8-phosphooctulonate synthase activity [GO:0008676]; identical protein binding [GO:0042802]	GO:0005829; GO:0008676; GO:0019294; GO:0032991; GO:0042802
P0A717	KPRS_ECOLI	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prs prsA b1207 JW1198	Escherichia coli (strain K12)	315	prs	34218	5.0	reviewed	5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; protein hexamerization [GO:0034214]; purine nucleotide biosynthetic process [GO:0006164]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ribose phosphate diphosphokinase complex [GO:0002189]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ribose phosphate diphosphokinase complex [GO:0002189]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; phosphate ion binding [GO:0042301]; ribose phosphate diphosphokinase activity [GO:0004749]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; protein hexamerization [GO:0034214]; purine nucleotide biosynthetic process [GO:0006164]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	ADP binding [GO:0043531]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; phosphate ion binding [GO:0042301]; ribose phosphate diphosphokinase activity [GO:0004749]	GO:0000287; GO:0002189; GO:0004749; GO:0005524; GO:0005737; GO:0005829; GO:0006015; GO:0006164; GO:0009156; GO:0016301; GO:0034214; GO:0042301; GO:0042802; GO:0043531
P0A720	KTHY_ECOLI	Thymidylate kinase (EC 2.7.4.9) (Thymidine monophosphate kinase) (dTMP kinase) (TMPK)	tmk ycfG b1098 JW1084	Escherichia coli (strain K12)	213	tmk	23783	5.0	reviewed	dTDP biosynthetic process [GO:0006233]; dTTP biosynthetic process [GO:0006235]; dUDP biosynthetic process [GO:0006227]; nucleobase-containing small molecule interconversion [GO:0015949]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; dTMP kinase activity [GO:0004798]; protein homodimerization activity [GO:0042803]; dTDP biosynthetic process [GO:0006233]; dTTP biosynthetic process [GO:0006235]; dUDP biosynthetic process [GO:0006227]; nucleobase-containing small molecule interconversion [GO:0015949]	ATP binding [GO:0005524]; dTMP kinase activity [GO:0004798]; protein homodimerization activity [GO:0042803]	GO:0004798; GO:0005524; GO:0005737; GO:0005829; GO:0006227; GO:0006233; GO:0006235; GO:0015949; GO:0042803
P0A722	LPXA_ECOLI	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)	lpxA b0181 JW0176	Escherichia coli (strain K12)	262	lpxA	28080	5.0	reviewed	lipid A biosynthetic process [GO:0009245]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity [GO:0008780]; identical protein binding [GO:0042802]; lipid A biosynthetic process [GO:0009245]	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity [GO:0008780]; identical protein binding [GO:0042802]	GO:0005737; GO:0005829; GO:0008780; GO:0009245; GO:0016020; GO:0042802
P0A725	LPXC_ECOLI	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (Protein EnvA) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	lpxC asmB envA b0096 JW0094	Escherichia coli (strain K12)	305	lpxC	33956	5.0	reviewed	lipid A biosynthetic process [GO:0009245]	cytoplasm [GO:0005737]; membrane [GO:0016020]	cytoplasm [GO:0005737]; membrane [GO:0016020]; deacetylase activity [GO:0019213]; iron ion binding [GO:0005506]; UDP-3-O-acyl-N-acetylglucosamine deacetylase activity [GO:0103117]; zinc ion binding [GO:0008270]; lipid A biosynthetic process [GO:0009245]	deacetylase activity [GO:0019213]; iron ion binding [GO:0005506]; UDP-3-O-acyl-N-acetylglucosamine deacetylase activity [GO:0103117]; zinc ion binding [GO:0008270]	GO:0005506; GO:0005737; GO:0008270; GO:0009245; GO:0016020; GO:0019213; GO:0103117
P0A729	NTPPB_ECOLI	7-methyl-GTP pyrophosphatase (m(7)GTP pyrophosphatase) (EC 3.6.1.-)	yceF b1087 JW5155	Escherichia coli (strain K12)	194	yceF	21691	5.0	reviewed	nucleotide metabolic process [GO:0009117]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; nucleoside triphosphate diphosphatase activity [GO:0047429]; nucleotide metabolic process [GO:0009117]	nucleoside triphosphate diphosphatase activity [GO:0047429]	GO:0005737; GO:0009117; GO:0047429
P0A731	MGSA_ECOLI	Methylglyoxal synthase (MGS) (EC 4.2.3.3)	mgsA yccG b0963 JW5129	Escherichia coli (strain K12)	152	mgsA	16919	5.0	reviewed	methylglyoxal biosynthetic process [GO:0019242]; protein hexamerization [GO:0034214]	cytosol [GO:0005829]	cytosol [GO:0005829]; identical protein binding [GO:0042802]; methylglyoxal synthase activity [GO:0008929]; methylglyoxal biosynthetic process [GO:0019242]; protein hexamerization [GO:0034214]	identical protein binding [GO:0042802]; methylglyoxal synthase activity [GO:0008929]	GO:0005829; GO:0008929; GO:0019242; GO:0034214; GO:0042802
P0A738	MOAC_ECOLI	Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)	moaC chlA3 b0783 JW0766	Escherichia coli (strain K12)	161	moaC	17467	5.0	reviewed	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	protein-containing complex [GO:0032991]	protein-containing complex [GO:0032991]; cyclic pyranopterin monophosphate synthase activity [GO:0061799]; identical protein binding [GO:0042802]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	cyclic pyranopterin monophosphate synthase activity [GO:0061799]; identical protein binding [GO:0042802]	GO:0006777; GO:0032991; GO:0042802; GO:0061799
P0A742	MSCL_ECOLI	Large-conductance mechanosensitive channel	mscL yhdC b3291 JW3252	Escherichia coli (strain K12)	136	mscL	14957	5.0	reviewed	intracellular water homeostasis [GO:0009992]; monoatomic ion transmembrane transport [GO:0034220]; monoatomic ion transport [GO:0006811]	membrane [GO:0016020]; plasma membrane [GO:0005886]	membrane [GO:0016020]; plasma membrane [GO:0005886]; identical protein binding [GO:0042802]; mechanosensitive monoatomic ion channel activity [GO:0008381]; intracellular water homeostasis [GO:0009992]; monoatomic ion transmembrane transport [GO:0034220]; monoatomic ion transport [GO:0006811]	identical protein binding [GO:0042802]; mechanosensitive monoatomic ion channel activity [GO:0008381]	GO:0005886; GO:0006811; GO:0008381; GO:0009992; GO:0016020; GO:0034220; GO:0042802
P0A744	MSRA_ECOLI	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	msrA pms b4219 JW4178	Escherichia coli (strain K12)	212	msrA	23315	5.0	reviewed	cellular response to oxidative stress [GO:0034599]; protein modification process [GO:0036211]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; L-methionine-(S)-S-oxide reductase activity [GO:0036456]; oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor [GO:0016671]; peptide-methionine (S)-S-oxide reductase activity [GO:0008113]; cellular response to oxidative stress [GO:0034599]; protein modification process [GO:0036211]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979]	L-methionine-(S)-S-oxide reductase activity [GO:0036456]; oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor [GO:0016671]; peptide-methionine (S)-S-oxide reductase activity [GO:0008113]	GO:0005737; GO:0005829; GO:0006979; GO:0008113; GO:0016671; GO:0030091; GO:0034599; GO:0036211; GO:0036456
P0A746	MSRB_ECOLI	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	msrB yeaA b1778 JW1767	Escherichia coli (strain K12)	137	msrB	15451	5.0	reviewed	protein repair [GO:0030091]; response to cadmium ion [GO:0046686]; response to oxidative stress [GO:0006979]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; iron ion binding [GO:0005506]; L-methionine-(R)-S-oxide reductase activity [GO:0033745]; peptide-methionine (R)-S-oxide reductase activity [GO:0033743]; zinc ion binding [GO:0008270]; protein repair [GO:0030091]; response to cadmium ion [GO:0046686]; response to oxidative stress [GO:0006979]	iron ion binding [GO:0005506]; L-methionine-(R)-S-oxide reductase activity [GO:0033745]; peptide-methionine (R)-S-oxide reductase activity [GO:0033743]; zinc ion binding [GO:0008270]	GO:0005506; GO:0005737; GO:0005829; GO:0006979; GO:0008270; GO:0030091; GO:0033743; GO:0033745; GO:0046686
P0A749	MURA_ECOLI	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA murZ b3189 JW3156	Escherichia coli (strain K12)	419	murA	44818	5.0	reviewed	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	cytosol [GO:0005829]	cytosol [GO:0005829]; UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity [GO:0008760]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity [GO:0008760]	GO:0005829; GO:0008360; GO:0008760; GO:0009252; GO:0019277; GO:0051301; GO:0071555
P0A754	KEFF_ECOLI	Glutathione-regulated potassium-efflux system ancillary protein KefF (Quinone oxidoreductase KefF) (EC 1.6.5.2)	kefF yabF b0046 JW0045	Escherichia coli (strain K12)	176	kefF	20170	5.0	reviewed	intracellular pH elevation [GO:0051454]; positive regulation of potassium ion transmembrane transport [GO:1901381]; potassium ion transport [GO:0006813]; regulation of intracellular pH [GO:0051453]	plasma membrane [GO:0005886]; potassium:proton antiporter complex [GO:1903103]	plasma membrane [GO:0005886]; potassium:proton antiporter complex [GO:1903103]; electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; NAD(P)H dehydrogenase (quinone) activity [GO:0003955]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; NADPH dehydrogenase (quinone) activity [GO:0008753]; protein homodimerization activity [GO:0042803]; intracellular pH elevation [GO:0051454]; positive regulation of potassium ion transmembrane transport [GO:1901381]; potassium ion transport [GO:0006813]; regulation of intracellular pH [GO:0051453]	electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; NAD(P)H dehydrogenase (quinone) activity [GO:0003955]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; NADPH dehydrogenase (quinone) activity [GO:0008753]; protein homodimerization activity [GO:0042803]	GO:0003955; GO:0005886; GO:0006813; GO:0008753; GO:0009055; GO:0010181; GO:0042803; GO:0050136; GO:0051453; GO:0051454; GO:1901381; GO:1903103
P0A759	NAGB_ECOLI	Glucosamine-6-phosphate deaminase (EC 3.5.99.6) (GlcN6P deaminase) (GNPDA) (Glucosamine-6-phosphate isomerase)	nagB glmD b0678 JW0664	Escherichia coli (strain K12)	266	nagB	29774	5.0	reviewed	carbohydrate metabolic process [GO:0005975]; glucosamine catabolic process [GO:0006043]; N-acetylglucosamine catabolic process [GO:0006046]; N-acetylneuraminate catabolic process [GO:0019262]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glucosamine-6-phosphate deaminase activity [GO:0004342]; identical protein binding [GO:0042802]; carbohydrate metabolic process [GO:0005975]; glucosamine catabolic process [GO:0006043]; N-acetylglucosamine catabolic process [GO:0006046]; N-acetylneuraminate catabolic process [GO:0019262]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	glucosamine-6-phosphate deaminase activity [GO:0004342]; identical protein binding [GO:0042802]	GO:0004342; GO:0005737; GO:0005829; GO:0005975; GO:0006043; GO:0006046; GO:0006048; GO:0019262; GO:0042802
P0A763	NDK_ECOLI	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	ndk b2518 JW2502	Escherichia coli (strain K12)	143	ndk	15463	5.0	reviewed	CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; purine nucleotide metabolic process [GO:0006163]; pyrimidine nucleotide metabolic process [GO:0006220]; UTP biosynthetic process [GO:0006228]	cytosol [GO:0005829]	cytosol [GO:0005829]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; purine nucleotide metabolic process [GO:0006163]; pyrimidine nucleotide metabolic process [GO:0006220]; UTP biosynthetic process [GO:0006228]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]	GO:0004550; GO:0005524; GO:0005829; GO:0006163; GO:0006183; GO:0006220; GO:0006228; GO:0006241; GO:0046872
P0A769	MNTH_ECOLI	Divalent metal cation transporter MntH	mntH yfeP b2392 JW2388	Escherichia coli (strain K12)	412	mntH	44194	5.0	reviewed	cadmium ion transport [GO:0015691]; cellular response to oxidative stress [GO:0034599]; cobalt ion transport [GO:0006824]; iron ion transmembrane transport [GO:0034755]; iron ion transport [GO:0006826]; manganese import into cell [GO:0140967]; manganese ion transport [GO:0006828]; metal ion transport [GO:0030001]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; cadmium ion transmembrane transporter activity [GO:0015086]; manganese ion transmembrane transporter activity [GO:0005384]; metal ion binding [GO:0046872]; proton transmembrane transporter activity [GO:0015078]; symporter activity [GO:0015293]; cadmium ion transport [GO:0015691]; cellular response to oxidative stress [GO:0034599]; cobalt ion transport [GO:0006824]; iron ion transmembrane transport [GO:0034755]; iron ion transport [GO:0006826]; manganese import into cell [GO:0140967]; manganese ion transport [GO:0006828]; metal ion transport [GO:0030001]	cadmium ion transmembrane transporter activity [GO:0015086]; manganese ion transmembrane transporter activity [GO:0005384]; metal ion binding [GO:0046872]; proton transmembrane transporter activity [GO:0015078]; symporter activity [GO:0015293]	GO:0005384; GO:0005886; GO:0006824; GO:0006826; GO:0006828; GO:0015078; GO:0015086; GO:0015293; GO:0015691; GO:0030001; GO:0034599; GO:0034755; GO:0046872; GO:0140967
P0A776	RPPH_ECOLI	RNA pyrophosphohydrolase (EC 3.6.1.-) ((Di)nucleoside polyphosphate hydrolase) (Ap5A pyrophosphatase)	rppH nudH ygdP b2830 JW2798	Escherichia coli (strain K12)	176	rppH	20795	5.0	reviewed	mRNA catabolic process [GO:0006402]; NAD-cap decapping [GO:0110155]; RNA decapping [GO:0110154]; RNA destabilization [GO:0050779]; tRNA processing [GO:0008033]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]; magnesium ion binding [GO:0000287]; mRNA 5'-diphosphatase activity [GO:0034353]; RNA NAD-cap (NMN-forming) hydrolase activity [GO:0110153]; mRNA catabolic process [GO:0006402]; NAD-cap decapping [GO:0110155]; RNA decapping [GO:0110154]; RNA destabilization [GO:0050779]; tRNA processing [GO:0008033]	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]; magnesium ion binding [GO:0000287]; mRNA 5'-diphosphatase activity [GO:0034353]; RNA NAD-cap (NMN-forming) hydrolase activity [GO:0110153]	GO:0000287; GO:0005737; GO:0006402; GO:0008033; GO:0016818; GO:0034353; GO:0050779; GO:0110153; GO:0110154; GO:0110155
P0A784	ORN_ECOLI	Oligoribonuclease (EC 3.1.15.-)	orn o204a yjeR b4162 JW5740	Escherichia coli (strain K12)	181	orn	20816	5.0	reviewed	RNA catabolic process [GO:0006401]	cytosol [GO:0005829]	cytosol [GO:0005829]; 3'-5'-RNA exonuclease activity [GO:0000175]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; oligoribonucleotidase activity [GO:0034611]; single-stranded DNA 3'-5' DNA exonuclease activity [GO:0008310]; RNA catabolic process [GO:0006401]	3'-5'-RNA exonuclease activity [GO:0000175]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; oligoribonucleotidase activity [GO:0034611]; single-stranded DNA 3'-5' DNA exonuclease activity [GO:0008310]	GO:0000175; GO:0003676; GO:0005829; GO:0006401; GO:0008310; GO:0034611; GO:0046872
P0A786	PYRB_ECOLI	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	pyrB b4245 JW4204	Escherichia coli (strain K12)	311	pyrB	34427	5.0	reviewed	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; glutamine metabolic process [GO:0006541]; protein homotrimerization [GO:0070207]	aspartate carbamoyltransferase complex [GO:0009347]; cytoplasm [GO:0005737]; cytosol [GO:0005829]	aspartate carbamoyltransferase complex [GO:0009347]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; amino acid binding [GO:0016597]; aspartate carbamoyltransferase activity [GO:0004070]; identical protein binding [GO:0042802]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; glutamine metabolic process [GO:0006541]; protein homotrimerization [GO:0070207]	amino acid binding [GO:0016597]; aspartate carbamoyltransferase activity [GO:0004070]; identical protein binding [GO:0042802]	GO:0004070; GO:0005737; GO:0005829; GO:0006207; GO:0006541; GO:0009347; GO:0016597; GO:0042802; GO:0044205; GO:0070207
P0A790	PAND_ECOLI	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	panD b0131 JW0127	Escherichia coli (strain K12)	126	panD	13834	5.0	reviewed	alanine biosynthetic process [GO:0006523]; pantothenate biosynthetic process [GO:0015940]; protein autoprocessing [GO:0016540]	cytosol [GO:0005829]	cytosol [GO:0005829]; aspartate 1-decarboxylase activity [GO:0004068]; alanine biosynthetic process [GO:0006523]; pantothenate biosynthetic process [GO:0015940]; protein autoprocessing [GO:0016540]	aspartate 1-decarboxylase activity [GO:0004068]	GO:0004068; GO:0005829; GO:0006523; GO:0015940; GO:0016540
P0A794	PDXJ_ECOLI	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)	pdxJ b2564 JW2548	Escherichia coli (strain K12)	243	pdxJ	26384	5.0	reviewed	pyridoxine biosynthetic process [GO:0008615]	cytosol [GO:0005829]	cytosol [GO:0005829]; identical protein binding [GO:0042802]; pyridoxine 5'-phosphate synthase activity [GO:0033856]; pyridoxine biosynthetic process [GO:0008615]	identical protein binding [GO:0042802]; pyridoxine 5'-phosphate synthase activity [GO:0033856]	GO:0005829; GO:0008615; GO:0033856; GO:0042802
P0A796	PFKA_ECOLI	ATP-dependent 6-phosphofructokinase isozyme 1 (ATP-PFK 1) (Phosphofructokinase 1) (EC 2.7.1.11) (6-phosphofructokinase isozyme I) (Phosphohexokinase 1) (Sedoheptulose-7-phosphate kinase)	pfkA b3916 JW3887	Escherichia coli (strain K12)	320	pfkA	34842	5.0	reviewed	canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; glucose catabolic process [GO:0006007]; glycolytic process [GO:0006096]; protein homotetramerization [GO:0051289]	6-phosphofructokinase complex [GO:0005945]; cytoplasm [GO:0005737]; cytosol [GO:0005829]	6-phosphofructokinase complex [GO:0005945]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; 6-phosphofructokinase activity [GO:0003872]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; GDP binding [GO:0019003]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; ribonucleotide binding [GO:0032553]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; glucose catabolic process [GO:0006007]; glycolytic process [GO:0006096]; protein homotetramerization [GO:0051289]	6-phosphofructokinase activity [GO:0003872]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; GDP binding [GO:0019003]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; ribonucleotide binding [GO:0032553]	GO:0000287; GO:0003872; GO:0005524; GO:0005737; GO:0005829; GO:0005945; GO:0006002; GO:0006007; GO:0006096; GO:0019003; GO:0030388; GO:0032553; GO:0042802; GO:0051289; GO:0061621; GO:0070095
P0A799	PGK_ECOLI	Phosphoglycerate kinase (EC 2.7.2.3)	pgk b2926 JW2893	Escherichia coli (strain K12)	387	pgk	41118	5.0	reviewed	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	cytosol [GO:0005829]	cytosol [GO:0005829]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; guanosine tetraphosphate binding [GO:0097216]; phosphoglycerate kinase activity [GO:0004618]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	ADP binding [GO:0043531]; ATP binding [GO:0005524]; guanosine tetraphosphate binding [GO:0097216]; phosphoglycerate kinase activity [GO:0004618]	GO:0004618; GO:0005524; GO:0005829; GO:0006094; GO:0006096; GO:0043531; GO:0097216
P0A7A7	PLSB_ECOLI	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)	plsB b4041 JW4001	Escherichia coli (strain K12)	807	plsB	91381	5.0	reviewed	CDP-diacylglycerol biosynthetic process [GO:0016024]; fatty acid metabolic process [GO:0006631]; phospholipid biosynthetic process [GO:0008654]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; glycerol-3-phosphate O-acyltransferase activity [GO:0004366]; CDP-diacylglycerol biosynthetic process [GO:0016024]; fatty acid metabolic process [GO:0006631]; phospholipid biosynthetic process [GO:0008654]	glycerol-3-phosphate O-acyltransferase activity [GO:0004366]	GO:0004366; GO:0005886; GO:0006631; GO:0008654; GO:0016024
P0A7A9	IPYR_ECOLI	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	ppa b4226 JW4185	Escherichia coli (strain K12)	176	ppa	19704	5.0	reviewed	phosphate-containing compound metabolic process [GO:0006796]	cytosol [GO:0005829]; membrane [GO:0016020]	cytosol [GO:0005829]; membrane [GO:0016020]; inorganic diphosphate phosphatase activity [GO:0004427]; inorganic triphosphate phosphatase activity [GO:0050355]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]; phosphate-containing compound metabolic process [GO:0006796]	inorganic diphosphate phosphatase activity [GO:0004427]; inorganic triphosphate phosphatase activity [GO:0050355]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]	GO:0000287; GO:0004427; GO:0005829; GO:0006796; GO:0008270; GO:0016020; GO:0050355
P0A7B1	PPK1_ECOLI	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk b2501 JW2486	Escherichia coli (strain K12)	688	ppk	80432	5.0	reviewed	polyphosphate biosynthetic process [GO:0006799]	cytosol [GO:0005829]; membrane [GO:0016020]; periplasmic side of cell outer membrane [GO:0031241]; plasma membrane [GO:0005886]; polyphosphate kinase complex [GO:0009358]	cytosol [GO:0005829]; membrane [GO:0016020]; periplasmic side of cell outer membrane [GO:0031241]; plasma membrane [GO:0005886]; polyphosphate kinase complex [GO:0009358]; ATP binding [GO:0005524]; diphosphotransferase activity [GO:0016778]; metal ion binding [GO:0046872]; phosphotransferase activity, phosphate group as acceptor [GO:0016776]; polyphosphate kinase activity [GO:0008976]; polyphosphate:AMP phosphotransferase activity [GO:0043751]; protein homodimerization activity [GO:0042803]; polyphosphate biosynthetic process [GO:0006799]	ATP binding [GO:0005524]; diphosphotransferase activity [GO:0016778]; metal ion binding [GO:0046872]; phosphotransferase activity, phosphate group as acceptor [GO:0016776]; polyphosphate kinase activity [GO:0008976]; polyphosphate:AMP phosphotransferase activity [GO:0043751]; protein homodimerization activity [GO:0042803]	GO:0005524; GO:0005829; GO:0005886; GO:0006799; GO:0008976; GO:0009358; GO:0016020; GO:0016776; GO:0016778; GO:0031241; GO:0042803; GO:0043751; GO:0046872
P0A7B3	NADK_ECOLI	NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)	nadK yfjB yfjE b2615 JW2596	Escherichia coli (strain K12)	292	nadK	32566	5.0	reviewed	NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]	cytosol [GO:0005829]	cytosol [GO:0005829]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NAD+ kinase activity [GO:0003951]; NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NAD+ kinase activity [GO:0003951]	GO:0003951; GO:0005524; GO:0005829; GO:0006741; GO:0019674; GO:0046872; GO:0051287
